Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
50,841,Rebecca Wenlock,F,TS2,Thames Turbo Triathlon Club,0:04:06,0:01:40,0:13:01,0:00:45,0:09:22,0:28:56,+00:08:54
51,835,CYRIL PREUDHOMME,M,TS2,,0:05:23,0:02:31,0:12:26,0:00:55,0:08:10,0:29:26,+00:09:24
52,812,EMMA BUTLER,F,TS2,,0:05:05,0:02:20,0:12:23,0:00:59,0:09:18,0:30:07,+00:10:05
53,814,CEINWEN CHENG,F,TS2,ISL,0:04:31,0:02:40,0:11:05,0:00:52,0:11:14,0:30:24,+00:10:22
54,849,ELLA ROWE,F,TS2,,0:04:26,0:02:09,0:12:36,0:00:46,0:10:36,0:30:36,+00:10:34
55,840,BILLY ARGENT,M,TS2,,0:05:07,0:02:54,0:12:51,0:00:42,0:09:36,0:31:12,+00:11:10
56,831,OLIVER JORDAN,M,TS2,,0:05:10,0:02:21,0:13:15,0:00:44,0:09:43,0:31:14,+00:11:12
57,283,MICHAEL FORSYTH,M,TS2,,0:06:05,0:02:42,0:12:16,0:00:50,0:09:26,0:31:21,+00:11:19
58,827,CONNOR MUNDIE,M,TS2,,0:08:51,0:02:00,0:12:09,0:00:45,0:07:49,0:31:37,+00:11:35
59,873,PAVAN BADWAL,M,TS2,,0:05:02,0:02:48,0:13:36,0:00:52,0:09:35,0:31:55,+00:11:53
60,830,SIMON ARENDS,M,TS2,,0:05:15,0:02:04,0:13:51,0:00:43,0:10:10,0:32:05,+00:12:03
61,820,Thomas Barkshire,M,TS2,Jetstream Tri Club,0:04:33,0:02:03,0:14:43,0:00:51,0:09:53,0:32:06,+00:12:04
62,808,ARRAN STRANG,M,TS2,,0:05:24,0:02:06,0:14:09,0:01:23,0:09:41,0:32:45,+00:12:43
63,284,EMMY BUDIS,F,TS2,,0:04:05,0:03:42,0:12:35,0:00:58,0:11:29,0:32:51,+00:12:49
64,868,LAURENCE MOORE,M,TS2,Harrow Swim Club,0:03:46,0:01:57,0:17:59,0:00:44,0:08:29,0:32:57,+00:12:55
65,853,HANNAH COLLINS,F,TS2,,0:05:20,0:02:58,0:12:52,0:00:43,0:11:03,0:32:58,+00:12:56
66,837,SEAN RIGNEY,M,TS2,,0:05:40,0:02:40,0:13:15,0:00:55,0:10:27,0:32:59,+00:12:57
67,806,SKYE STRANG,F,TS2,,0:04:29,0:02:59,0:15:39,0:00:44,0:09:34,0:33:28,+00:13:26
68,809,ELLIE CARROLL,F,TS2,,0:05:15,0:03:47,0:13:26,0:01:00,0:10:07,0:33:38,+00:13:36
69,807,JAMES ELLIOTT-STONE,M,TS2,,0:06:09,0:02:09,0:14:35,0:00:42,0:10:09,0:33:47,+00:13:45
70,851,DINA ROSENFIELD,F,TS2,,0:05:30,0:02:25,0:14:39,0:00:45,0:10:37,0:33:59,+00:13:57
71,834,OREN IVGI,M,TS2,,0:06:58,0:02:37,0:12:45,0:00:46,0:10:58,0:34:05,+00:14:03
72,881,CIARA MCCARTHY,M,TS2,,0:03:32,0:02:06,0:12:50,0:00:42,0:14:52,0:34:05,+00:14:03
73,286,Jenny Doulton,F,TS2,Jetstream Tri Club,0:05:08,0:02:11,0:14:00,0:00:47,0:11:59,0:34:07,+00:14:05
74,888,Katie Thirkettle,F,TS2,Heathfield Tri,0:04:12,0:02:18,0:16:00,0:00:49,0:11:04,0:34:25,+00:14:23
75,287,CATHERINE SHERRY,F,TS2,,0:07:48,0:02:37,0:13:12,0:00:46,0:10:05,0:34:30,+00:14:28
76,861,CHARLOTTE MCRAE,M,TS2,,0:06:09,0:02:23,0:13:06,0:00:51,0:12:06,0:34:36,+00:14:34
77,848,SAMUEL KARET,M,TS2,,0:04:46,0:02:02,0:12:24,0:00:47,0:15:04,0:35:05,+00:15:03
78,867,ZAC PALEY,M,TS2,,0:06:11,0:03:58,0:12:17,0:00:49,0:12:05,0:35:22,+00:15:20
79,815,KATIE TIMLIN,F,TS2,,0:04:48,0:03:22,0:15:42,0:00:57,0:11:11,0:36:01,+00:15:59
80,832,BRANDON COTTER,M,TS2,,0:05:39,0:03:24,0:12:30,0:01:13,0:13:42,0:36:30,+00:16:28
81,810,GRACE SHUTE,F,TS2,,0:05:02,0:02:33,0:16:46,0:01:22,0:10:48,0:36:33,+00:16:31
82,280,ZACK FITTON,M,TS2,,0:06:38,0:03:58,0:15:01,0:00:50,0:10:58,0:37:26,+00:17:24
83,802,Ria HOO-QUARTEY,F,TS2,Jetstream,0:05:58,0:02:24,0:17:27,0:01:03,0:10:34,0:37:28,+00:17:26
84,282,JOSEPH VARLESE,M,TS2,,0:07:03,0:03:29,0:14:03,0:02:32,0:10:21,0:37:31,+00:17:29
85,288,AISLING FREEGARD,F,TS2,,0:05:37,0:02:45,0:17:11,0:00:57,0:11:14,0:37:47,+00:17:45
86,829,KATIE FLYNN-CAUGHEY,F,TS2,,0:05:49,0:02:32,0:16:23,0:00:48,0:12:16,0:37:51,+00:17:49
87,281,LILI BALKIN,F,TS2,,0:06:25,0:02:04,0:17:16,0:00:55,0:11:09,0:37:52,+00:17:50
88,856,SAMUEL BAKST,M,TS2,,0:06:32,0:03:58,0:14:43,0:01:06,0:11:32,0:37:53,+00:17:51
89,833,SHMULI MILLER,M,TS2,,0:07:00,0:02:26,0:14:09,0:01:04,0:13:23,0:38:04,+00:18:02
90,285,REBECCA ALEXANDER,F,TS2,,0:06:06,0:03:09,0:16:28,0:00:56,0:14:02,0:40:44,+00:20:42
91,805,AMY O'CONNOR,F,TS2,,0:06:39,0:03:21,0:20:40,0:01:29,0:15:35,0:47:46,+00:27:44
-,825,AMBER MCKENZIE,F,TS2,Bike and Run London,0:04:10,0:04:17,0:12:46,0:00:59,,0:00:00,
-,866,HARRY REED,M,TS2,,0:06:48,0:06:57,0:10:40,0:10:03,,0:00:00,
-,819,HARRY WEST,M,TS2,,0:07:25,0:02:34,0:09:00,0:00:53,0:09:56,0:00:00,
,,,,,,,,,,,,
Copyright StuWeb Race Timing - http://www.stuweb.co.uk,,,,,,,,,,,,
Not for re-publication online without prior written permission.,,,,,,,,,,,,
