Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Lap1,Lap2,Lap3,Cycle,T2,Run,Gun Time, Time Difference
44,340,"JONAH FOLEY",M,TS2,"HILLINGDON SWIMMING CLUB",00:03:31,00:01:57,00:04:39,00:05:02,,00:14:25,00:00:34,00:09:14,00:29:42,+00:08:59
45,324,"Zev Bloom",M,TS2,,00:05:12,00:02:53,00:03:46,00:04:11,,00:11:45,00:00:47,00:09:23,00:30:02,+00:09:19
46,366,"Ellie Carroll",F,TS2,"Jetstream Tri Club",00:04:41,00:02:06,00:04:38,00:04:45,,00:13:35,00:00:46,00:09:02,00:30:12,+00:09:29
47,323,"Stanley Mcdowell",M,TS2,,00:05:58,00:03:00,00:03:49,00:04:07,,00:11:46,00:00:39,00:08:57,00:30:22,+00:09:39
48,363,"JOE O'DWYER",M,TS2,,00:05:19,00:03:34,00:03:04,00:04:10,,00:12:03,00:00:42,00:08:43,00:30:23,+00:09:40
49,422,"Zak Maddison-Roberts",M,TS2,,00:03:38,00:01:52,00:04:36,00:04:53,,00:14:00,00:00:42,00:10:14,00:30:29,+00:09:46
50,346,"HARRY SUMNER",M,TS2,,00:04:55,00:01:56,00:04:43,00:04:30,,00:13:25,00:00:40,00:09:43,00:30:40,+00:09:57
51,403,"LEXIE WEBB",F,TS2,"CRYSTAL PALACE TRI",00:03:40,00:02:14,00:04:34,00:04:49,,00:14:11,00:00:36,00:10:06,00:30:50,+00:10:07
52,335,"EMMA BUTLER",F,TS2,,00:04:57,00:02:01,00:04:48,00:04:42,,00:13:52,00:00:40,00:10:01,00:31:33,+00:10:50
53,322,"Charlie Mcdowell",M,TS2,,00:06:03,00:03:20,00:03:57,00:04:03,,00:11:51,00:00:40,00:09:39,00:31:35,+00:10:52
54,371,"Grace Shute",F,TS2,,00:04:26,00:03:20,00:04:37,00:04:40,,00:13:42,00:00:36,00:09:33,00:31:38,+00:10:55
55,410,"ELLA ROWE",F,TS2,"Thames Turbo Triathlon Club",00:04:08,00:02:21,00:04:48,00:04:51,,00:14:54,00:00:40,00:09:34,00:31:39,+00:10:56
56,325,"MICHAEL FORSYTH",M,TS2,,00:05:32,00:02:24,00:04:29,00:04:26,,00:13:04,00:00:48,00:09:55,00:31:45,+00:11:02
57,357,"ABIGAIL MORRIS",F,TS2,"Crystal Palace Triathletes",00:04:18,00:01:57,00:04:43,00:05:01,,00:14:28,00:00:37,00:10:43,00:32:05,+00:11:22
58,351,"Sarah Freegard",F,TS2,"ESC D3 TRIATHLON",00:04:05,00:01:42,00:05:11,00:05:18,,00:15:39,00:00:35,00:10:22,00:32:24,+00:11:41
59,375,"THOMAS BARTLETT",M,TS2,,00:05:19,00:02:28,00:04:53,00:04:55,,00:14:40,00:00:47,00:09:12,00:32:29,+00:11:46
60,327,"ORLA FORSYTH",F,TS2,,00:04:52,00:02:52,00:04:41,00:04:50,,00:14:08,00:00:54,00:09:45,00:32:32,+00:11:49
61,338,"Rhys Mchale",M,TS2,"Jetstream Tri Club",00:04:49,00:02:00,00:05:25,00:05:25,,00:16:32,00:00:37,00:08:34,00:32:34,+00:11:51
62,394,"JOE Robertson",M,TS2,,00:05:27,00:02:18,00:04:50,00:05:13,,00:15:05,00:00:39,00:09:05,00:32:36,+00:11:53
63,333,"MARCUS CHAPLIN",M,TS2,,00:04:49,00:02:32,00:04:56,00:05:04,,00:15:36,00:00:37,00:09:19,00:32:55,+00:12:12
64,343,"AMELIA OWERS",F,TS2,"Tri Sport Epping / RG Active",00:04:10,00:01:59,00:04:50,00:04:50,,00:14:18,00:00:41,00:11:44,00:32:55,+00:12:12
65,336,"Katie Barkshire",F,TS2,"Jetstream Tri Club",00:04:17,00:01:41,00:05:25,00:06:16,,00:17:35,00:00:41,00:08:44,00:33:01,+00:12:18
66,395,"Emily Mccarthy",F,TS2,"HILLINGDON SWIMMING CLUB",00:03:40,00:02:37,00:03:50,00:03:58,00:04:08,00:05:03,00:00:39,00:09:07,00:33:05,+00:12:22
67,368,"Callum Loveless",M,TS2,,00:04:32,00:02:09,00:05:43,00:05:08,,00:15:57,00:00:40,00:09:52,00:33:12,+00:12:29
68,334,"PAVAN BADWAL",M,TS2,,00:05:01,00:02:33,00:05:06,00:05:30,,00:15:54,00:00:53,00:09:28,00:33:50,+00:13:07
69,361,"BEN JORDAN",M,TS2,,00:05:40,00:02:23,00:05:04,00:05:07,,00:14:56,00:00:41,00:10:18,00:34:00,+00:13:17
70,331,"MARIANNE WILLIAMS-KERSLAKE",F,TS2,"Holy Trinity School",00:04:35,00:02:19,00:04:48,00:05:02,,00:14:50,00:00:44,00:11:33,00:34:03,+00:13:20
71,411,"KATIE MARTIN",F,TS2,"HILLINGDON SWIMMING CLUB",00:04:15,00:02:37,00:04:55,00:05:17,,00:15:14,00:00:54,00:11:12,00:34:13,+00:13:30
72,391,"Richard Billington",M,TS2,,00:04:15,00:02:12,00:05:01,00:05:18,,00:15:25,00:00:39,00:11:52,00:34:24,+00:13:41
72,391,"ROB STEVENSON",M,TS2,,00:04:15,00:02:12,00:05:01,00:05:18,,00:15:25,00:00:39,00:11:52,00:34:24,+00:13:41
72,391,"RICHARD BILLINGTON",M,TS2,,00:04:15,00:02:12,00:05:01,00:05:18,,00:15:25,00:00:39,00:11:52,00:34:24,+00:13:41
73,348,"WILLIAM JORDAN",M,TS2,,00:06:20,00:02:22,00:05:09,00:05:08,,00:15:05,00:00:45,00:10:28,00:35:03,+00:14:20
74,380,"ALEX MCRAE",M,TS2,,00:06:26,00:02:12,00:04:22,00:04:43,,00:13:34,00:00:34,00:12:28,00:35:16,+00:14:33
75,330,"AVANI BADWAL",F,TS2,,00:05:20,00:02:10,00:05:16,00:05:36,,00:16:03,00:00:41,00:11:23,00:35:39,+00:14:56
76,349,"Nicholas Karayiannis",M,TS2,,00:05:54,00:04:05,00:05:11,00:05:24,,00:15:58,00:01:19,00:09:13,00:36:31,+00:15:48
77,379,"ROSALKI GIDON",M,TS2,,00:05:01,00:02:14,00:05:19,00:05:07,,00:15:25,00:00:54,00:13:27,00:37:02,+00:16:19
78,321,"CIARA DUFFY",F,TS2,,00:05:10,00:03:02,00:05:23,00:05:27,,00:16:15,00:00:42,00:13:05,00:38:16,+00:17:33
79,418,"Katie Thirkettle",F,TS2,"HILLINGDON SWIMMING CLUB",00:04:06,00:02:39,00:06:10,00:06:40,,00:19:00,00:00:47,00:11:44,00:38:17,+00:17:34
80,370,"ANNABELLA STOLL",F,TS2,,00:05:20,00:02:53,00:05:47,00:06:19,,00:18:13,00:00:40,00:12:20,00:39:28,+00:18:45
81,339,"Karishma Dulai",F,TS2,"Jetstream Tri Club",00:04:29,00:02:21,00:06:10,00:06:16,,00:18:26,00:00:48,00:13:24,00:39:29,+00:18:46
82,360,"KATIE TIMLIN",F,TS2,,00:04:48,00:02:08,00:06:25,00:06:36,,00:19:00,00:00:33,00:14:06,00:40:37,+00:19:54
83,328,"Kiyana Patel",F,TS2,"Jetstream Tri Club",00:05:37,00:04:35,00:05:13,00:05:28,,00:15:46,00:00:41,00:14:35,00:41:16,+00:20:33
84,329,"Amy O'connor",F,TS2,"Jetstream Tri Club",00:05:40,00:02:35,00:07:03,00:07:11,,00:21:07,00:01:08,00:15:32,00:46:03,+00:25:20
85,381,"BENJAMIN GARFIELD",M,TS2,,00:07:47,00:03:15,00:10:10,00:10:04,,00:29:16,00:01:43,00:16:01,00:58:04,+00:37:21
-,345,"JAMES SUMNER",M,TS2,,00:04:46,00:02:10,00:04:47,00:05:22,,00:15:49,00:00:42,,00:00:00,
-,356,"EMMA BOYALL",F,TS2,,00:06:38,00:04:36,00:05:48,,,,,,00:00:00,

Copyright StuWeb Race Timing - http://www.stuweb.co.uk
Not for re-publication online without prior written permission.
