Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Lap1,Lap2,Lap3,Cycle,T2,Run,Gun Time, Time Difference
12,252,"CAMERON FRASER",M,TS2,"Thames Turbo Triathlon Club",00:04:16,00:01:31,00:03:01,00:03:00,,00:02:55,00:00:32,00:06:53,00:22:12,+00:02:46
13,266,"LOUIS WRIGHT",M,TS2,"Thames Turbo Triathlon Club",00:03:54,00:01:37,00:02:56,00:03:01,,00:03:01,00:00:35,00:07:16,00:22:23,+00:02:57
14,234,"Edward Watson",M,TS2,"AMERSHAM TRISTARS",00:03:56,00:01:32,00:03:21,00:03:18,,00:03:04,00:00:35,00:07:05,00:22:53,+00:03:27
15,264,"ETHAN MULLEN",M,TS2,"THAMES TURBO",00:03:56,00:01:33,00:03:16,00:03:11,,00:03:05,00:00:44,00:07:16,00:23:03,+00:03:37
16,278,"BEN BROCKWAY",M,TS2,NULL,00:03:22,00:01:32,00:03:19,00:03:09,,00:03:16,00:00:31,00:08:00,00:23:12,+00:03:46
17,263,"TIMOTHY WALLACE",M,TS2,"Ealing Swimming Club",00:03:34,00:01:43,00:03:14,00:03:15,,00:03:22,00:00:40,00:07:35,00:23:26,+00:04:00
18,293,"Amy-Rose Reeves",F,TS2,NULL,00:03:12,00:01:28,00:03:10,00:03:11,,00:03:04,00:00:38,00:08:43,00:23:29,+00:04:03
19,256,"Ruby PENNEY",F,TS2,"Thames Turbo Triathlon Club",00:03:52,00:01:17,00:03:27,00:03:19,,00:03:07,00:00:36,00:07:49,00:23:30,+00:04:04
20,281,"LAURA HOWLEY",F,TS2,NULL,00:03:29,00:01:20,00:03:24,00:03:31,,00:03:17,00:00:36,00:07:53,00:23:32,+00:04:06
21,257,"Jimmy GIBSON",M,TS2,"Thames Turbo Triathlon Club",00:03:53,00:01:18,00:03:19,00:03:15,,00:03:08,00:00:35,00:08:04,00:23:34,+00:04:08
22,251,"Zev Bloom",M,TS2,NULL,00:04:33,00:02:02,00:03:07,00:03:06,,00:02:51,00:00:35,00:07:29,00:23:44,+00:04:18
23,276,"Olivia Scarles",F,TS2,"AMERSHAM TRISTARS",00:03:33,00:01:42,00:03:21,00:03:31,,00:03:30,00:00:33,00:07:36,00:23:47,+00:04:21
24,292,"Callum Smyth",M,TS2,"Jetstream Tri Club",00:03:21,00:01:24,00:03:45,00:03:52,,00:03:46,00:00:33,00:07:16,00:23:58,+00:04:32
25,294,"Katie Chapman",F,TS2,"HILLINGDON SWIMMING CLUB",00:02:58,00:01:26,00:03:05,00:03:47,,00:04:02,00:00:37,00:08:20,00:24:18,+00:04:52
26,259,"Oisin Murphy",M,TS2,NULL,00:04:29,00:02:05,00:02:49,00:02:53,,00:03:00,00:01:21,00:07:57,00:24:36,+00:05:10
27,229,"Zak Copley",M,TS2,NULL,00:04:04,00:01:45,00:03:18,00:03:14,,00:03:12,00:00:39,00:08:38,00:24:53,+00:05:27
28,244,"Joseph YEE",M,TS2,"Crystal Palace Triathletes",00:04:07,00:01:38,00:03:05,00:03:09,,00:03:01,00:00:59,00:08:59,00:25:00,+00:05:34
29,232,"Zack Burgess",M,TS2,"HEMEL HEMPSTEAD CYCLING CLUB",00:03:57,00:02:01,00:03:18,00:03:15,,00:02:58,00:00:46,00:08:46,00:25:04,+00:05:38
30,260,"Zachary Murphy",M,TS2,NULL,00:04:01,00:02:00,00:03:42,00:03:15,,00:03:14,00:00:41,00:08:15,00:25:11,+00:05:45
31,285,"Emily Mccarthy",F,TS2,RNSS,00:03:04,00:01:45,00:03:42,00:03:25,,00:03:26,00:00:44,00:09:02,00:25:11,+00:05:45
32,261,"Sophie PETERS",F,TS2,NULL,00:03:26,00:01:53,00:03:40,00:03:47,,00:03:54,00:00:38,00:08:04,00:25:24,+00:05:58
33,295,"Thomas Callum Smith",M,TS2,RNSS,00:03:17,00:01:36,00:03:46,00:04:00,,00:03:41,00:00:48,00:08:14,00:25:24,+00:05:58
34,215,"Sally Tremlett",F,TS2,NULL,00:03:19,00:01:33,00:04:08,00:04:15,,00:04:04,00:00:41,00:07:27,00:25:29,+00:06:03
35,270,"ZAHRA CHISHOLM",F,TS2,"Thames Turbo Triathlon Club",00:03:25,00:01:28,00:03:50,00:03:39,,00:03:29,00:00:37,00:09:01,00:25:32,+00:06:06
36,235,"Katie Barkshire",F,TS2,"Jetstream Tri Club",00:03:43,00:01:40,00:03:47,00:03:55,,00:03:37,00:00:33,00:08:38,00:25:55,+00:06:29
37,249,"CALLUM GOODGER",M,TS2,"Thames Turbo Triathlon Club",00:04:12,00:01:52,00:03:12,00:03:20,,00:03:23,00:00:40,00:09:16,00:25:58,+00:06:32
38,202,"Joshua Goraya",M,TS2,NULL,00:05:39,00:01:37,00:03:24,00:03:33,,00:03:26,00:00:38,00:07:45,00:26:06,+00:06:40
39,237,"Jack Shute",M,TS2,NULL,00:04:58,00:01:53,00:03:42,00:03:25,,00:03:32,00:00:38,00:07:58,00:26:07,+00:06:41
40,262,"Sarah Freegard",F,TS2,"ESC D3 TRIATHLON",00:03:45,00:01:18,00:03:52,00:03:55,,00:03:56,00:00:40,00:09:18,00:26:48,+00:07:22
41,201,"Charlie Mcdowell",M,TS2,NULL,00:05:27,00:02:23,00:03:18,00:03:29,,00:03:34,00:00:41,00:08:10,00:27:05,+00:07:39
42,253,"Rollo Woddis",M,TS2,"Thames Turbo Triathlon Club",00:04:04,00:02:08,00:03:40,00:03:51,,00:03:46,00:00:40,00:09:08,00:27:20,+00:07:54
43,221,"GEORGE LEWIS",M,TS2,"Thames Turbo Triathlon Club",00:05:34,00:01:46,00:03:13,00:03:24,,00:03:19,00:01:12,00:08:52,00:27:24,+00:07:58
44,250,"Lauren Hamer",F,TS2,NULL,00:03:53,00:01:56,00:04:11,00:04:09,,00:04:04,00:00:43,00:08:33,00:27:32,+00:08:06
45,217,"Callum Loveless",M,TS2,NULL,00:04:09,00:01:44,00:03:55,00:03:58,,00:03:58,00:00:49,00:09:04,00:27:40,+00:08:14
46,238,"Bradley Jerrom",M,TS2,NULL,00:05:13,00:02:03,00:03:49,00:03:59,,00:03:44,00:00:47,00:08:05,00:27:43,+00:08:17
47,246,"Georgia De Gidlow",F,TS2,"Jetstream Tri Club",00:03:46,00:01:52,00:03:40,00:04:00,,00:03:43,00:00:44,00:09:56,00:27:44,+00:08:18
48,240,"Sam Hickley",M,TS2,"ESC D3 TRIATHLON",00:04:24,00:01:30,00:04:02,00:04:17,,00:04:09,00:00:38,00:08:47,00:27:51,+00:08:25
49,241,"Joe WYATT",M,TS2,"RG Active",00:05:08,00:01:56,00:04:13,00:04:29,,00:04:23,00:00:58,00:08:07,00:28:16,+00:08:50
50,228,"Rhys Mchale",M,TS2,"Jetstream Tri Club",00:04:37,00:02:13,00:04:21,00:04:09,,00:04:01,00:00:51,00:08:11,00:28:25,+00:08:59
51,272,"Jane Mistry",F,TS2,"Harrow Swimming Club",00:03:44,00:02:43,00:03:55,00:03:50,,00:03:44,00:00:41,00:10:01,00:28:42,+00:09:16
52,243,"Emilie Davies",F,TS2,NULL,00:04:07,00:01:52,00:03:55,00:03:52,,00:03:54,00:00:42,00:10:18,00:28:44,+00:09:18
53,227,"Delilah-Sky Basu",F,TS2,"Hillingdon Triathletes",00:03:43,00:01:40,00:04:00,00:04:13,,00:04:01,00:00:51,00:10:21,00:28:52,+00:09:26
54,289,"Lucy Thirkettle",M,TS2,"Jetstream Tri Club",00:03:39,00:01:37,00:04:25,00:04:23,,00:04:14,00:00:47,00:10:17,00:29:24,+00:09:58
55,220,"Alexander Mcrae",M,TS2,NULL,00:05:00,00:02:01,00:03:49,00:03:46,,00:03:39,00:00:46,00:10:29,00:29:33,+00:10:07
56,226,"FRANCESCA MEDRI",F,TS2,"THAMES TURBO",00:04:10,00:01:42,00:04:15,00:04:24,,00:04:13,00:00:52,00:10:08,00:29:47,+00:10:21
57,236,"Joanie Easton",F,TS2,"ESC D3 TRIATHLON",00:04:06,00:01:45,00:04:25,00:04:27,,00:04:15,00:01:04,00:09:48,00:29:53,+00:10:27
58,230,"Karishma Dulai",F,TS2,NULL,00:03:44,00:01:56,00:03:52,00:03:58,,00:04:09,00:01:07,00:11:08,00:29:57,+00:10:31
59,219,"Molly Wray",F,TS2,"Jetstream Tri Club",00:04:40,00:01:48,00:04:08,00:04:59,,00:03:43,00:00:41,00:10:08,00:30:10,+00:10:44
60,205,"Bailey Connell",M,TS2,NULL,00:06:14,00:02:16,00:04:02,00:04:02,,00:03:52,00:00:50,00:08:56,00:30:14,+00:10:48
61,214,"Callum Heatlie-Ball",M,TS2,NULL,00:04:12,00:03:11,00:04:10,00:04:13,,00:04:05,00:00:45,00:09:48,00:30:27,+00:11:01
62,255,"Sebastien Bisdee",M,TS2,"Jetstream Tri Club",00:05:42,00:02:35,00:04:20,00:04:22,,00:04:15,00:00:49,00:09:52,00:31:59,+00:12:33
63,222,"Hannah Hamid",F,TS2,NULL,00:04:52,00:02:28,00:03:57,00:04:25,,00:04:10,00:00:48,00:11:19,00:32:03,+00:12:37
64,203,"Freya Gooden",F,TS2,"Jetstream Tri Club",00:04:55,00:02:31,00:04:17,00:04:31,,00:04:05,00:00:55,00:10:57,00:32:13,+00:12:47
65,213,"Stacey Carroll",F,TS2,"Jetstream Tri Club",00:04:50,00:01:37,00:05:02,00:05:11,,00:05:09,00:00:40,00:09:47,00:32:18,+00:12:52
66,273,"Rebecca Saville",F,TS2,"Jetstream Tri Club",00:03:45,00:01:47,00:04:27,00:05:05,,00:04:43,00:00:47,00:11:51,00:32:27,+00:13:01
67,200,"Stanley Mcdowell",M,TS2,NULL,00:05:27,00:02:42,00:03:36,00:03:44,00:03:49,00:04:01,00:01:02,00:08:18,00:32:43,+00:13:17
68,247,"Gidon Rosalki",M,TS2,NULL,00:05:00,00:02:10,00:04:12,00:04:20,,00:04:24,00:00:37,00:13:26,00:34:12,+00:14:46
69,242,"Beth Fraser",F,TS2,"Jetstream Tri Club",00:04:45,00:02:18,00:04:52,00:04:48,,00:04:46,00:00:41,00:12:02,00:34:13,+00:14:47
70,223,"Sabah Hamid",F,TS2,NULL,00:05:07,00:03:39,00:04:32,00:04:43,,00:04:46,00:00:44,00:10:57,00:34:31,+00:15:05
71,210,"Preena Patel",F,TS2,Jetstream,00:07:32,00:02:56,00:07:27,00:06:32,,00:06:24,00:00:53,00:11:14,00:42:59,+00:23:33
72,258,"Mathilda Cheshire",F,TS2,NULL,00:05:37,00:03:08,00:04:12,00:04:20,,00:04:17,00:00:41,00:25:19,00:47:37,+00:28:11
-,239,"Molly Payne",F,TS2,NULL,00:04:59,00:04:13,00:05:05,,,00:04:51,00:00:41,00:09:29,00:00:00,

Copyright StuWeb Race Timing - http://www.stuweb.co.uk
Not for re-publication online without prior written permission.
